feature,importance,rank
BATTERY_STATS,0.0006679087111026051,134
FLASHLIGHT,0.0006505657057123855,135
URLClassLoader,0.0006217669689682745,136
android.intent.action.ACTION_POWER_CONNECTED,0.0006068006940673254,137
READ_PROFILE,0.0006025620741573081,138
WRITE_CALENDAR,0.0006013407788960178,139
CLEAR_APP_CACHE,0.0005730822446754157,140
GLOBAL_SEARCH,0.0005434409574702522,141
DEVICE_POWER,0.0005363496550118157,142
ACCESS_MOCK_LOCATION,0.0005228415122365389,143
android.intent.action.ACTION_SHUTDOWN,0.0005222398680904028,144
STATUS_BAR,0.0005122463872019164,145
CHANGE_WIFI_MULTICAST_STATE,0.0005029827832266124,146
MASTER_CLEAR,0.00048550745382491324,147
BIND_INPUT_METHOD,0.0004790202010797497,148
CLEAR_APP_USER_DATA,0.0004787723065583506,149
READ_CALL_LOG,0.00046993572718862913,150
ACCESS_SURFACE_FLINGER,0.0004651502672169458,151
SET_PREFERRED_APPLICATIONS,0.0004637837842105553,152
getCallingPid,0.0004585299730703024,153
PathClassLoader,0.00044604020478333935,154
Ljava.lang.Class.getDeclaredClasses,0.00044565366452181454,155
REBOOT,0.00041927663502036285,156
DELETE_CACHE_FILES,0.00041058934046488116,157
GET_PACKAGE_SIZE,0.0004043950455249188,158
BROADCAST_SMS,0.00040349607721094157,159
EXPAND_STATUS_BAR,0.0003975628167899096,160
BIND_DEVICE_ADMIN,0.0003791512090903814,161
SET_ALARM,0.00035629014740595115,162
android.intent.action.SCREEN_OFF,0.00031527331276596095,163
android.intent.action.SENDTO,0.00029800613835631346,164
Runtime.load,0.00029207238494953226,165
SET_ORIENTATION,0.00028639722966939107,166
android.intent.action.PACKAGE_CHANGED,0.0002852141423293468,167
RECEIVE_MMS,0.0002825404140253749,168
CALL_PRIVILEGED,0.00027990913407534794,169
RECEIVE_WAP_PUSH,0.0002750684724923777,170
android.intent.action.ACTION_POWER_DISCONNECTED,0.00027251828787773263,171
WRITE_CALL_LOG,0.00026306117062734654,172
android.intent.action.SET_WALLPAPER,0.00024153910137887413,173
ACCOUNT_MANAGER,0.00024052116705124284,174
CONTROL_LOCATION_UPDATES,0.00022967313676377815,175
android.intent.action.PACKAGE_DATA_CLEARED,0.00022762986515269793,176
android.intent.action.SCREEN_ON,0.0002251960542725608,177
CHANGE_COMPONENT_ENABLED_STATE,0.00021057601623568383,178
SUBSCRIBED_FEEDS_READ,0.00020710866036619536,179
BROADCAST_WAP_PUSH,0.00019851647002260377,180
HARDWARE_TEST,0.00018975975094526017,181
WRITE_GSERVICES,0.00016568857004027967,182
SET_WALLPAPER_HINTS,0.00016329839406934113,183
